interval,day,week,classifier,score
76,Saturday,24,Adventure_Sport,0.860812
26,Thursday,24,Adventure_Sport,0.775454
35,Sunday,25,Adventure_Sport,0.879321
73,Monday,25,Adventure_Sport,0.788617
29,Saturday,24,Adventure_Sport,0.822788
78,Monday,25,Adventure_Sport,0.864842
27,Friday,24,Adventure_Sport,0.778299
74,Monday,25,Adventure_Sport,0.856198
86,Friday,24,Adventure_Sport,0.793783
79,Saturday,24,Adventure_Sport,0.866189
36,Sunday,25,Adventure_Sport,0.879761
85,Sunday,25,Adventure_Sport,0.821104
34,Monday,25,Adventure_Sport,0.844391
38,Monday,25,Adventure_Sport,0.868733
37,Monday,25,Adventure_Sport,0.797811
37,Monday,25,Adventure_Sport,0.848065
69,Monday,25,Adventure_Sport,0.81096
81,Monday,25,Adventure_Sport,0.887913
79,Wednesday,21,Adventure_Sport,0.794285
79,Wednesday,21,Adventure_Sport,0.816725
51,Thursday,21,Adventure_Sport,0.822345
48,Thursday,21,Adventure_Sport,0.825267
24,Friday,21,Adventure_Sport,0.609241
39,Friday,21,Adventure_Sport,0.801794
32,Friday,21,Adventure_Sport,0.764764
35,Friday,21,Adventure_Sport,0.785189
47,Friday,21,Adventure_Sport,0.820485
49,Friday,21,Adventure_Sport,0.835856
53,Friday,21,Adventure_Sport,0.83245
47,Friday,21,Adventure_Sport,0.811613
28,Sunday,22,Adventure_Sport,0.783237
28,Sunday,22,Adventure_Sport,0.716055
28,Sunday,22,Adventure_Sport,0.821032
71,Monday,22,Adventure_Sport,0.804089
89,Monday,22,Adventure_Sport,0.794841
31,Tuesday,22,Adventure_Sport,0.827708
52,Sunday,22,Adventure_Sport,0.823568
30,Wednesday,22,Adventure_Sport,0.853042
71,Wednesday,22,Adventure_Sport,0.757888
76,Wednesday,22,Adventure_Sport,0.784192
71,Wednesday,22,Adventure_Sport,0.763339
34,Thursday,22,Adventure_Sport,0.868221
35,Thursday,22,Adventure_Sport,0.874473
80,Wednesday,22,Adventure_Sport,0.782591
78,Wednesday,22,Adventure_Sport,0.827899
41,Thursday,22,Adventure_Sport,0.74393
35,Thursday,22,Adventure_Sport,0.86111
40,Saturday,23,Adventure_Sport,0.867049
47,Friday,22,Adventure_Sport,0.830269
29,Thursday,22,Adventure_Sport,0.732918
36,Sunday,24,Adventure_Sport,0.865708
86,Friday,23,Adventure_Sport,0.852247
48,Friday,22,Adventure_Sport,0.830417
31,Monday,24,Adventure_Sport,0.867429
75,Saturday,23,Adventure_Sport,0.812654
40,Saturday,23,Adventure_Sport,0.867439
46,Saturday,23,Adventure_Sport,0.859429
34,Monday,24,Adventure_Sport,0.875108
26,Sunday,24,Adventure_Sport,0.832702
55,Tuesday,24,Adventure_Sport,0.827277
