classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Adventure_Sport,0.742996,20160610205046-225-01,2016,06,10,20,50,46
Adventure_Sport,0.77851,20160610212019-236-01,2016,06,10,21,20,19
Adventure_Sport,0.893434,20160617195935-1231-01,2016,06,17,19,59,35
Adventure_Sport,0.89466,20160617200552-1232-01,2016,06,17,20,05,52
Adventure_Sport,0.738166,20160610211248-233-00,2016,06,10,21,12,48
Adventure_Sport,0.880701,20160612214854-503-00,2016,06,12,21,48,54
Adventure_Sport,0.886495,20160612220535-504-00,2016,06,12,22,05,35
Adventure_Sport,0.904755,20160611055816-272-00,2016,06,11,05,58,16
Adventure_Sport,0.870636,20160620184336-1646-01,2016,06,20,18,43,36
Adventure_Sport,0.878614,20160620193741-1648-00,2016,06,20,19,37,41
Adventure_Sport,0.850536,20160619070649-1370-01,2016,06,19,07,06,49
Adventure_Sport,0.892152,20160614081333-701-00,2016,06,14,08,13,33
Adventure_Sport,0.885104,20160612083804-417-01,2016,06,12,08,38,04
Adventure_Sport,0.882879,20160613075214-541-00,2016,06,13,07,52,14
Adventure_Sport,0.837645,20160613061735-506-00,2016,06,13,06,17,35
Adventure_Sport,0.855081,20160613214515-670-00,2016,06,13,21,45,15
Adventure_Sport,0.852606,20160616072858-954-00,2016,06,16,07,28,58
Adventure_Sport,0.866987,20160616081147-981-00,2016,06,16,08,11,47
Adventure_Sport,0.887742,20160616092014-1013-01,2016,06,16,09,20,14
Adventure_Sport,0.844003,20160617060256-1104-00,2016,06,17,06,02,56
Adventure_Sport,0.858118,20160617081713-1122-00,2016,06,17,08,17,13
Adventure_Sport,0.863884,20160615075905-797-00,2016,06,15,07,59,05
Adventure_Sport,0.878279,20160618055308-1246-00,2016,06,18,05,53,08
Adventure_Sport,0.852493,20160617184623-1223-00,2016,06,17,18,46,23
Adventure_Sport,0.899555,20160617194800-1228-01,2016,06,17,19,48,00
Adventure_Sport,0.906281,20160618193319-1338-00,2016,06,18,19,33,19
Adventure_Sport,0.850464,20160525070746-03-00,2016,05,25,07,07,46
Adventure_Sport,0.822587,20160525072952-07-01,2016,05,25,07,29,52
Adventure_Sport,0.699583,20160525062617-09-01,2016,05,25,06,26,17
Adventure_Sport,0.828853,20160525073122-09-01,2016,05,25,07,31,22
Adventure_Sport,0.750245,20160525214117-95-01,2016,05,25,21,41,17
Adventure_Sport,0.802273,20160526220323-241-01,2016,05,26,22,03,23
Adventure_Sport,0.889274,20160528074901-501-01,2016,05,28,07,49,01
Adventure_Sport,0.869054,20160529083839-666-01,2016,05,29,08,38,39
Adventure_Sport,0.754555,20160530061612-769-00,2016,05,30,06,16,12
Adventure_Sport,0.790036,20160528190855-606-00,2016,05,28,19,08,55
Adventure_Sport,0.838991,20160531223438-1019-01,2016,05,31,22,34,38
Adventure_Sport,0.84919,20160601194831-74-00,2016,06,01,19,48,31
Adventure_Sport,0.864741,20160609200512-204-00,2016,06,09,20,05,12
Adventure_Sport,0.877881,20160601194520-69-00,2016,06,01,19,45,20
Adventure_Sport,0.853456,20160601195109-76-00,2016,06,01,19,51,09
Adventure_Sport,0.835267,20160601195339-80-00,2016,06,01,19,53,39
Adventure_Sport,0.753996,20160601200800-89-00,2016,06,01,20,08,00
Adventure_Sport,0.831862,20160601201016-91-00,2016,06,01,20,10,16
Adventure_Sport,0.869753,20160612070018-359-01,2016,06,12,07,00,18
Adventure_Sport,0.866725,20160612072630-371-01,2016,06,12,07,26,30
Adventure_Sport,0.895766,20160612074431-396-01,2016,06,12,07,44,31
Adventure_Sport,0.87883,20160602203357-52-01,2016,06,02,20,33,57
Adventure_Sport,0.881929,20160608083008-183-01,2016,06,08,08,30,08
Adventure_Sport,0.836656,20160611060343-273-01,2016,06,11,06,03,43
Adventure_Sport,0.871277,20160613064333-510-00,2016,06,13,06,43,33
Adventure_Sport,0.891074,20160609183445-193-00,2016,06,09,18,34,45
Adventure_Sport,0.859853,20160610204654-221-00,2016,06,10,20,46,54
Adventure_Sport,0.773326,20160530213516-929-00,2016,05,30,21,35,16
Adventure_Sport,0.888222,20160613074511-538-00,2016,06,13,07,45,11
Adventure_Sport,0.838268,20160612083455-416-01,2016,06,12,08,34,55
Adventure_Sport,0.882072,20160531060108-941-00,2016,05,31,06,01,08
Adventure_Sport,0.861843,20160613074344-536-01,2016,06,13,07,43,44
Adventure_Sport,0.863225,20160612181620-492-01,2016,06,12,18,16,20
Adventure_Sport,0.791231,20160531213801-1012-01,2016,05,31,21,38,01
Adventure_Sport,0.885465,20160613075019-540-00,2016,06,13,07,50,19
Adventure_Sport,0.881643,20160613090917-575-00,2016,06,13,09,09,17
Adventure_Sport,0.89648,20160614195556-772-00,2016,06,14,19,55,56
Adventure_Sport,0.869413,20160531222802-1014-00,2016,05,31,22,28,02
Adventure_Sport,0.851237,20160602072141-23-01,2016,06,02,07,21,41
Adventure_Sport,0.851251,20160614061431-688-01,2016,06,14,06,14,31
Adventure_Sport,0.883595,20160609075923-187-00,2016,06,09,07,59,23
Adventure_Sport,0.870897,20160609184947-195-00,2016,06,09,18,49,47
Adventure_Sport,0.724659,20160610210154-228-00,2016,06,10,21,01,54
Adventure_Sport,0.800393,20160610213031-240-00,2016,06,10,21,30,31
Adventure_Sport,0.863865,20160608074958-181-00,2016,06,08,07,49,58
Adventure_Sport,0.893353,20160611055729-270-01,2016,06,11,05,57,29
Adventure_Sport,0.852034,20160619085455-1387-00,2016,06,19,08,54,55
Adventure_Sport,0.88906,20160616084310-1009-01,2016,06,16,08,43,10
Adventure_Sport,0.878676,20160612072513-368-00,2016,06,12,07,25,13
Adventure_Sport,0.836073,20160617080057-1117-01,2016,06,17,08,00,57
Adventure_Sport,0.876862,20160612072744-374-01,2016,06,12,07,27,44
Adventure_Sport,0.842447,20160616193955-1082-00,2016,06,16,19,39,55
Adventure_Sport,0.893602,20160612073644-385-01,2016,06,12,07,36,44
Adventure_Sport,0.820123,20160619225235-1530-00,2016,06,19,22,52,35
Adventure_Sport,0.830813,20160610201208-217-01,2016,06,10,20,12,08
Adventure_Sport,0.818427,20160619070332-1367-00,2016,06,19,07,03,32
Adventure_Sport,0.869321,20160618192552-1336-01,2016,06,18,19,25,52
Adventure_Sport,0.856482,20160618222136-1348-00,2016,06,18,22,21,36
Adventure_Sport,0.888477,20160620061411-1535-01,2016,06,20,06,14,11
Adventure_Sport,0.895402,20160611055652-269-01,2016,06,11,05,56,52
Adventure_Sport,0.879433,20160620183340-1640-01,2016,06,20,18,33,40
Adventure_Sport,0.850462,20160612061800-346-01,2016,06,12,06,18,00
Adventure_Sport,0.872514,20160612090246-443-01,2016,06,12,09,02,46
Adventure_Sport,0.885622,20160612201536-496-00,2016,06,12,20,15,36
Adventure_Sport,0.77237,20160612132735-465-00,2016,06,12,13,27,35
Adventure_Sport,0.856804,20160613062038-508-00,2016,06,13,06,20,38
Adventure_Sport,0.868254,20160613072454-523-00,2016,06,13,07,24,54
Adventure_Sport,0.875472,20160613074451-537-00,2016,06,13,07,44,51
Adventure_Sport,0.883859,20160613080532-547-01,2016,06,13,08,05,32
Adventure_Sport,0.854411,20160613202023-665-01,2016,06,13,20,20,23
Adventure_Sport,0.873935,20160614061315-687-00,2016,06,14,06,13,15
Adventure_Sport,0.821297,20160614061731-690-00,2016,06,14,06,17,31
Adventure_Sport,0.897551,20160617055633-1100-00,2016,06,17,05,56,33
Adventure_Sport,0.864498,20160614180904-764-00,2016,06,14,18,09,04
Adventure_Sport,0.832221,20160617183559-1221-01,2016,06,17,18,35,59
Adventure_Sport,0.894935,20160618055820-1247-01,2016,06,18,05,58,20
Adventure_Sport,0.838758,20160618192429-1335-01,2016,06,18,19,24,29
Adventure_Sport,0.80266,20160619070233-1365-00,2016,06,19,07,02,33
Adventure_Sport,0.875269,20160617195829-1230-01,2016,06,17,19,58,29
Adventure_Sport,0.856556,20160617054626-1096-00,2016,06,17,05,46,26
Adventure_Sport,0.852601,20160618075002-1261-00,2016,06,18,07,50,02
Adventure_Sport,0.883138,20160620060042-1533-00,2016,06,20,06,00,42
Adventure_Sport,0.879451,20160618193254-1337-01,2016,06,18,19,32,54
Adventure_Sport,0.891791,20160618195358-1342-01,2016,06,18,19,53,58
Adventure_Sport,0.867046,20160620184010-1643-00,2016,06,20,18,40,10
Adventure_Sport,0.858539,20160525060513-07-00,2016,05,25,06,05,13
Adventure_Sport,0.840702,20160526061415-107-01,2016,05,26,06,14,15
Adventure_Sport,0.872817,20160526060106-104-00,2016,05,26,06,01,06
Adventure_Sport,0.835057,20160527070620-291-01,2016,05,27,07,06,20
Adventure_Sport,0.856592,20160527090400-350-01,2016,05,27,09,04,00
Adventure_Sport,0.807337,20160527123247-435-00,2016,05,27,12,32,47
Adventure_Sport,0.736636,20160528065405-491-01,2016,05,28,06,54,05
Adventure_Sport,0.754698,20160528064831-490-00,2016,05,28,06,48,31
Adventure_Sport,0.763589,20160527124537-440-00,2016,05,27,12,45,37
Adventure_Sport,0.828412,20160527132508-449-01,2016,05,27,13,25,08
Adventure_Sport,0.719737,20160530061745-771-00,2016,05,30,06,17,45
Adventure_Sport,0.890961,20160531075336-960-01,2016,05,31,07,53,36
Adventure_Sport,0.858111,20160601055112-1021-00,2016,06,01,05,51,12
Adventure_Sport,0.823569,20160601182309-16-00,2016,06,01,18,23,09
Adventure_Sport,0.837344,20160601201709-99-00,2016,06,01,20,17,09
Adventure_Sport,0.816867,20160601202022-102-00,2016,06,01,20,20,22
Adventure_Sport,0.845181,20160601195858-82-00,2016,06,01,19,58,58
Adventure_Sport,0.818016,20160601201925-100-00,2016,06,01,20,19,25
Adventure_Sport,0.860704,20160609200155-201-01,2016,06,09,20,01,55
Adventure_Sport,0.866138,20160601194746-73-00,2016,06,01,19,47,46
Adventure_Sport,0.840429,20160601201626-97-00,2016,06,01,20,16,26
Adventure_Sport,0.883839,20160610200247-215-01,2016,06,10,20,02,47
Adventure_Sport,0.675191,20160610205521-226-00,2016,06,10,20,55,21
Adventure_Sport,0.715272,20160610210925-230-01,2016,06,10,21,09,25
Adventure_Sport,0.8794,20160611073553-286-00,2016,06,11,07,35,53
Adventure_Sport,0.802907,20160601202352-108-01,2016,06,01,20,23,52
Adventure_Sport,0.864016,20160601055920-1025-00,2016,06,01,05,59,20
Adventure_Sport,0.868933,20160612072706-372-01,2016,06,12,07,27,06
Adventure_Sport,0.777228,20160602073028-29-00,2016,06,02,07,30,28
Adventure_Sport,0.883195,20160612074355-395-01,2016,06,12,07,43,55
Adventure_Sport,0.887817,20160612074449-397-01,2016,06,12,07,44,49
Adventure_Sport,0.795186,20160602203456-53-00,2016,06,02,20,34,56
Adventure_Sport,0.832988,20160613081247-553-01,2016,06,13,08,12,47
Adventure_Sport,0.823339,20160613082119-555-01,2016,06,13,08,21,19
Adventure_Sport,0.875545,20160612073106-378-00,2016,06,12,07,31,06
Adventure_Sport,0.68948,20160610212033-237-00,2016,06,10,21,20,33
Adventure_Sport,0.795511,20160531060358-942-00,2016,05,31,06,03,58
Adventure_Sport,0.851982,20160614081425-702-00,2016,06,14,08,14,25
Adventure_Sport,0.852614,20160612061313-345-01,2016,06,12,06,13,13
Adventure_Sport,0.876023,20160613081431-554-00,2016,06,13,08,14,31
Adventure_Sport,0.883947,20160613090524-573-00,2016,06,13,09,05,24
Adventure_Sport,0.804363,20160601200353-86-00,2016,06,01,20,03,53
Adventure_Sport,0.838989,20160601201949-101-01,2016,06,01,20,19,49
Adventure_Sport,0.856178,20160614082409-707-00,2016,06,14,08,24,09
Adventure_Sport,0.870103,20160601075727-1056-01,2016,06,01,07,57,27
Adventure_Sport,0.823278,20160614061232-686-00,2016,06,14,06,12,32
Adventure_Sport,0.882313,20160614081250-700-00,2016,06,14,08,12,50
Adventure_Sport,0.812339,20160601202308-107-00,2016,06,01,20,23,08
Adventure_Sport,0.82568,20160601200453-87-00,2016,06,01,20,04,53
