interval,day,week,classifier,score
74,Tuesday,14,person,0.802184
74,Tuesday,14,person,0.98016
90,Monday,14,person,0.574443
76,Tuesday,14,person,0.645656
75,Tuesday,14,person,0.989013
57,Tuesday,14,person,0.998771
50,Tuesday,14,person,0.802184
95,Monday,14,person,0.858149
76,Tuesday,14,person,0.668188
50,Tuesday,14,person,0.908877
50,Tuesday,14,person,0.668188
76,Tuesday,14,person,0.524979
78,Tuesday,14,person,0.450166
50,Tuesday,14,person,0.908877
80,Tuesday,14,person,0.598688
70,Tuesday,14,person,0.622459
68,Tuesday,14,person,0.997762
57,Tuesday,14,person,0.998341
70,Tuesday,14,person,0.668188
78,Tuesday,14,person,0.900249
69,Tuesday,14,person,0.997268
71,Tuesday,14,person,0.802184
79,Tuesday,14,person,0.973403
73,Tuesday,14,person,0.574443
81,Tuesday,14,person,0.998499
72,Tuesday,14,person,0.549834
86,Tuesday,14,person,0.5
73,Tuesday,14,person,0.574443
73,Tuesday,14,person,0.598688
74,Tuesday,14,person,0.937027
74,Tuesday,14,person,0.960834
29,Tuesday,14,person,0.916827
74,Tuesday,14,person,0.832018
71,Tuesday,14,person,0.331812
29,Tuesday,14,person,0.817574
75,Tuesday,14,person,0.817574
75,Tuesday,14,person,0.964429
71,Tuesday,14,person,0.268941
75,Tuesday,14,person,0.947846
77,Tuesday,14,person,0.574443
77,Tuesday,14,person,0.956893
30,Tuesday,14,person,0.450166
76,Tuesday,14,person,0.937027
78,Tuesday,14,person,0.731059
77,Tuesday,14,person,0.768525
73,Tuesday,14,person,0.986613
77,Tuesday,14,person,0.549834
28,Wednesday,14,person,0.598688
32,Tuesday,14,person,0.310026
79,Tuesday,14,person,0.5
79,Tuesday,14,person,0.28905
44,Tuesday,14,person,0.622459
28,Wednesday,14,person,0.869892
50,Tuesday,14,person,0.75026
78,Tuesday,14,person,0.908877
33,Tuesday,14,person,0.858149
24,Wednesday,14,person,0.268941
78,Tuesday,14,person,0.574443
34,Tuesday,14,person,0.598688
28,Wednesday,14,person,0.845535
78,Tuesday,14,person,0.832018
28,Wednesday,14,person,0.331812
29,Wednesday,14,person,0.99593
79,Tuesday,14,person,0.331812
29,Wednesday,14,person,0.28905
80,Tuesday,14,person,0.450166
81,Tuesday,14,person,0.331812
76,Tuesday,14,person,0.817574
86,Tuesday,14,person,0.425557
89,Tuesday,14,person,0.858149
79,Tuesday,14,person,0.549834
76,Tuesday,14,person,0.524979
27,Wednesday,14,person,0.425557
28,Wednesday,14,person,0.924142
76,Tuesday,14,person,0.908877
86,Tuesday,14,person,0.377541
28,Wednesday,14,person,0.710949
33,Wednesday,14,person,0.75026
37,Tuesday,14,person,0.99593
28,Wednesday,14,person,0.310026
36,Wednesday,14,person,0.9995
34,Wednesday,14,person,0.331812
37,Wednesday,14,person,0.310026
85,Tuesday,14,person,0.908877
71,Tuesday,14,person,0.964429
36,Wednesday,14,person,0.832018
80,Tuesday,14,person,0.377541
31,Wednesday,14,person,0.331812
38,Wednesday,14,person,0.997527
90,Tuesday,14,person,0.450166
88,Tuesday,14,person,0.802184
36,Wednesday,14,person,0.880797
73,Tuesday,14,person,0.908877
83,Tuesday,14,person,0.354344
73,Tuesday,14,person,0.998771
37,Wednesday,14,person,0.598688
74,Tuesday,14,person,0.916827
27,Wednesday,14,person,0.989013
37,Wednesday,14,person,0.549834
56,Wednesday,14,person,0.785835
37,Wednesday,14,person,0.970688
76,Tuesday,14,person,0.710949
57,Wednesday,14,person,0.268941
27,Wednesday,14,person,0.998771
28,Wednesday,14,person,0.924142
86,Tuesday,14,person,0.689974
28,Wednesday,14,person,0.985226
38,Wednesday,14,person,0.956893
76,Tuesday,14,person,0.425557
31,Wednesday,14,person,0.549834
29,Wednesday,14,person,0.401312
87,Tuesday,14,person,0.916827
76,Tuesday,14,person,0.598688
28,Wednesday,14,person,0.354344
29,Wednesday,14,person,0.996982
34,Wednesday,14,person,0.377541
76,Tuesday,14,person,0.645656
35,Wednesday,14,person,0.475021
30,Wednesday,14,person,0.475021
28,Wednesday,14,person,0.28905
77,Tuesday,14,person,0.998641
28,Wednesday,14,person,0.75026
79,Tuesday,14,person,0.524979
30,Wednesday,14,person,0.331812
57,Wednesday,14,person,0.908877
35,Wednesday,14,person,0.450166
30,Wednesday,14,person,0.598688
29,Wednesday,14,person,0.598688
63,Wednesday,14,person,0.331812
36,Wednesday,14,person,0.978119
65,Wednesday,14,person,0.869892
31,Wednesday,14,person,0.524979
28,Wednesday,14,person,0.425557
50,Tuesday,14,person,0.768525
80,Tuesday,14,person,0.310026
38,Wednesday,14,person,0.425557
29,Wednesday,14,person,0.268941
37,Wednesday,14,person,0.960834
65,Wednesday,14,person,0.331812
68,Wednesday,14,person,0.802184
29,Wednesday,14,person,0.622459
30,Wednesday,14,person,0.689974
68,Wednesday,14,person,0.991837
86,Tuesday,14,person,0.354344
36,Wednesday,14,person,0.832018
69,Wednesday,14,person,0.710949
69,Wednesday,14,person,0.598688
37,Wednesday,14,person,0.802184
56,Wednesday,14,person,0.5
75,Tuesday,14,person,0.645656
39,Wednesday,14,person,0.354344
37,Wednesday,14,person,0.924142
39,Wednesday,14,person,0.450166
62,Wednesday,14,person,0.999389
34,Wednesday,14,person,0.268941
64,Wednesday,14,person,0.845535
27,Wednesday,14,person,0.998993
35,Wednesday,14,person,0.598688
76,Tuesday,14,person,0.768525
65,Wednesday,14,person,0.450166
35,Wednesday,14,person,0.549834
37,Wednesday,14,person,0.689974
27,Wednesday,14,person,0.930862
27,Wednesday,14,person,0.450166
53,Wednesday,14,person,0.28905
78,Tuesday,14,person,0.768525
65,Wednesday,14,person,0.998167
37,Wednesday,14,person,0.622459
75,Wednesday,14,person,0.310026
79,Tuesday,14,person,0.549834
66,Wednesday,14,person,0.268941
64,Wednesday,14,person,0.28905
31,Wednesday,14,person,0.377541
68,Wednesday,14,person,0.832018
36,Wednesday,14,person,0.28905
41,Wednesday,14,person,0.425557
76,Wednesday,14,person,0.524979
78,Wednesday,14,person,0.598688
36,Wednesday,14,person,0.622459
69,Wednesday,14,person,0.5
86,Tuesday,14,person,0.268941
37,Wednesday,14,person,0.908877
70,Wednesday,14,person,0.960834
53,Wednesday,14,person,0.310026
56,Wednesday,14,person,0.982014
35,Wednesday,14,person,0.310026
72,Wednesday,14,person,0.268941
64,Wednesday,14,person,0.890903
64,Wednesday,14,person,0.28905
37,Wednesday,14,person,0.645656
65,Wednesday,14,person,0.785835
67,Wednesday,14,person,0.331812
37,Wednesday,14,person,0.731059
67,Wednesday,14,person,0.996316
37,Wednesday,14,person,0.710949
27,Wednesday,14,person,0.999176
37,Wednesday,14,person,0.377541
67,Wednesday,14,person,0.28905
67,Wednesday,14,person,0.549834
75,Wednesday,14,person,0.331812
67,Wednesday,14,person,0.768525
68,Wednesday,14,person,0.924142
75,Wednesday,14,person,0.622459
69,Wednesday,14,person,0.930862
37,Wednesday,14,person,0.916827
69,Wednesday,14,person,0.994514
76,Wednesday,14,person,0.858149
28,Wednesday,14,person,0.768525
68,Wednesday,14,person,0.998993
53,Wednesday,14,person,0.268941
69,Wednesday,14,person,0.978119
68,Wednesday,14,person,0.916827
76,Wednesday,14,person,0.331812
28,Wednesday,14,person,0.524979
70,Wednesday,14,person,0.524979
68,Wednesday,14,person,0.549834
29,Wednesday,14,person,0.331812
70,Wednesday,14,person,0.999389
41,Wednesday,14,person,0.268941
70,Wednesday,14,person,0.731059
56,Wednesday,14,person,0.942676
30,Wednesday,14,person,0.5
64,Wednesday,14,person,0.28905
64,Wednesday,14,person,0.999325
30,Wednesday,14,person,0.354344
44,Thursday,14,person,0.475021
65,Wednesday,14,person,0.845535
65,Wednesday,14,person,0.549834
72,Wednesday,14,person,0.832018
32,Wednesday,14,person,0.268941
71,Wednesday,14,person,0.997975
65,Wednesday,14,person,0.28905
73,Wednesday,14,person,0.425557
75,Wednesday,14,person,0.425557
57,Wednesday,14,person,0.645656
32,Wednesday,14,person,0.268941
75,Wednesday,14,person,0.268941
82,Wednesday,14,person,0.310026
64,Wednesday,14,person,0.549834
68,Wednesday,14,person,0.983697
57,Wednesday,14,person,0.354344
64,Wednesday,14,person,0.401312
68,Wednesday,14,person,0.930862
65,Wednesday,14,person,0.960834
34,Wednesday,14,person,0.28905
64,Wednesday,14,person,0.450166
69,Wednesday,14,person,0.930862
65,Wednesday,14,person,0.967705
65,Wednesday,14,person,0.574443
3,Thursday,14,person,0.310026
60,Thursday,14,person,0.310026
69,Wednesday,14,person,0.574443
67,Wednesday,14,person,0.574443
34,Wednesday,14,person,0.268941
69,Wednesday,14,person,0.987872
65,Wednesday,14,person,0.970688
28,Thursday,14,person,0.475021
69,Wednesday,14,person,0.937027
68,Wednesday,14,person,0.956893
63,Thursday,14,person,0.310026
67,Wednesday,14,person,0.28905
70,Wednesday,14,person,0.817574
68,Wednesday,14,person,0.952574
36,Wednesday,14,person,0.942676
69,Wednesday,14,person,0.998771
29,Thursday,14,person,0.973403
69,Wednesday,14,person,0.598688
70,Wednesday,14,person,0.645656
29,Thursday,14,person,0.960834
36,Wednesday,14,person,0.978119
70,Wednesday,14,person,0.858149
36,Wednesday,14,person,0.668188
65,Thursday,14,person,0.310026
