interval,day,week,classifier,score
64,Wednesday,14,person,0.890903
34,Wednesday,14,person,0.28905
68,Wednesday,14,person,0.956893
65,Wednesday,14,person,0.998167
56,Wednesday,14,person,0.942676
67,Wednesday,14,person,0.28905
66,Wednesday,14,person,0.268941
69,Wednesday,14,person,0.998771
65,Wednesday,14,person,0.785835
68,Wednesday,14,person,0.952574
69,Wednesday,14,person,0.598688
44,Thursday,14,person,0.475021
64,Wednesday,14,person,0.28905
68,Wednesday,14,person,0.832018
67,Wednesday,14,person,0.996316
34,Wednesday,14,person,0.268941
53,Wednesday,14,person,0.310026
68,Wednesday,14,person,0.989013
64,Wednesday,14,person,0.999325
67,Wednesday,14,person,0.549834
69,Wednesday,14,person,0.5
56,Wednesday,14,person,0.982014
67,Wednesday,14,person,0.768525
64,Wednesday,14,person,0.28905
67,Wednesday,14,person,0.331812
69,Wednesday,14,person,0.75026
65,Wednesday,14,person,0.845535
70,Wednesday,14,person,0.998499
70,Wednesday,14,person,0.960834
36,Wednesday,14,person,0.942676
69,Wednesday,14,person,0.930862
72,Wednesday,14,person,0.268941
69,Wednesday,14,person,0.268941
65,Wednesday,14,person,0.549834
70,Wednesday,14,person,0.970688
67,Wednesday,14,person,0.28905
69,Wednesday,14,person,0.994514
70,Wednesday,14,person,0.998993
65,Wednesday,14,person,0.28905
75,Wednesday,14,person,0.331812
69,Wednesday,14,person,0.978119
36,Wednesday,14,person,0.978119
68,Wednesday,14,person,0.983697
36,Wednesday,14,person,0.668188
71,Wednesday,14,person,0.450166
68,Wednesday,14,person,0.924142
37,Wednesday,14,person,0.937027
68,Wednesday,14,person,0.930862
68,Wednesday,14,person,0.998993
75,Wednesday,14,person,0.622459
73,Wednesday,14,person,0.5
60,Thursday,14,person,0.310026
70,Wednesday,14,person,0.524979
82,Wednesday,14,person,0.475021
69,Wednesday,14,person,0.930862
68,Wednesday,14,person,0.916827
70,Wednesday,14,person,0.999389
76,Wednesday,14,person,0.858149
68,Wednesday,14,person,0.549834
69,Wednesday,14,person,0.574443
71,Wednesday,14,person,0.997975
64,Wednesday,14,person,0.710949
83,Wednesday,14,person,0.310026
76,Wednesday,14,person,0.331812
69,Wednesday,14,person,0.987872
70,Wednesday,14,person,0.731059
63,Thursday,14,person,0.310026
65,Wednesday,14,person,0.768525
69,Wednesday,14,person,0.937027
84,Wednesday,14,person,0.622459
73,Wednesday,14,person,0.425557
72,Wednesday,14,person,0.832018
70,Wednesday,14,person,0.817574
68,Wednesday,14,person,0.956893
82,Wednesday,14,person,0.310026
75,Wednesday,14,person,0.425557
69,Wednesday,14,person,0.731059
70,Wednesday,14,person,0.645656
65,Thursday,14,person,0.310026
70,Wednesday,14,person,0.858149
75,Wednesday,14,person,0.268941
71,Wednesday,14,person,0.916827
81,Wednesday,14,person,0.268941
67,Thursday,14,person,0.731059
26,Thursday,14,person,0.425557
84,Wednesday,14,person,0.331812
29,Thursday,14,person,0.999629
3,Thursday,14,person,0.310026
72,Thursday,14,person,0.310026
42,Thursday,14,person,0.598688
72,Thursday,14,person,0.401312
28,Thursday,14,person,0.622459
28,Thursday,14,person,0.998887
29,Thursday,14,person,0.960834
39,Thursday,14,person,0.916827
