colnum,colname,min,max,sum,mean,median,stdev,nulls,unique,freq,len
76,doc/visual/scores/20/classifier_id,"Adult","Yellow","None","None","None","None","True","42","{ Appliance: 20, Whiskey: 13, White_Wine: 11, Beer: 8, Tool: 5 }","22"
77,doc/visual/scores/20/name,"Adult","Yellow","None","None","None","None","True","42","{ Appliance: 20, Whiskey: 13, White_Wine: 11, Beer: 8, Tool: 5 }","22"
78,doc/visual/scores/20/score,"0.500162","0.599615","67.332822","0.521959860465","0.513932","0.02109207726","True","129","{ 0.502645: 1, 0.510779: 1, 0.501943: 1, 0.522876: 1, 0.543634: 1 }","None"
79,doc/visual/scores/21/classifier_id,"Appliance","Yellow","None","None","None","None","True","32","{ Shopping: 4, Appliance: 3, Male_Adult: 3, Engine_or_Control_Room: 3, Wine_or_Liquor: 2 }","22"
80,doc/visual/scores/21/name,"Appliance","Yellow","None","None","None","None","True","32","{ Shopping: 4, Appliance: 3, Male_Adult: 3, Engine_or_Control_Room: 3, Wine_or_Liquor: 2 }","22"
81,doc/visual/scores/21/score,"0.500043","0.57427","26.557658","0.520738392157","0.515635","0.0192839500165","True","51","{ 0.543669: 1, 0.502664: 1, 0.546456: 1, 0.507811: 1, 0.515708: 1 }","None"
82,doc/visual/scores/22/classifier_id,"Appliance","White_Wine","None","None","None","None","True","17","{ White_Wine: 2, Celebrating: 2, Brandy: 2, Whiskey: 2, Bar: 1 }","22"
83,doc/visual/scores/22/name,"Appliance","White_Wine","None","None","None","None","True","17","{ White_Wine: 2, Celebrating: 2, Brandy: 2, Whiskey: 2, Bar: 1 }","22"
84,doc/visual/scores/22/score,"0.501132","0.559129","10.899513","0.519024428571","0.511746","0.0187122676047","True","21","{ 0.554039: 1, 0.559129: 1, 0.518644: 1, 0.52208: 1, 0.510327: 1 }","None"
85,doc/visual/scores/23/classifier_id,"Appliance","Wine_or_Liquor","None","None","None","None","True","5","{ Classroom: 1, Sweet_Treat: 1, Appliance: 1, Wine_or_Liquor: 1, White_Wine: 1 }","14"
86,doc/visual/scores/23/name,"Appliance","Wine_or_Liquor","None","None","None","None","True","5","{ Classroom: 1, Sweet_Treat: 1, Appliance: 1, Wine_or_Liquor: 1, White_Wine: 1 }","14"
87,doc/visual/scores/23/score,"0.502154","0.545727","2.602976","0.5205952","0.514573","0.0155562177331","True","5","{ 0.530306: 1, 0.502154: 1, 0.514573: 1, 0.545727: 1, 0.510216: 1 }","None"
88,doc/visual/scores/24/classifier_id,"Conference_Room","Conference_Room","None","None","None","None","True","1","{ Conference_Room: 1 }","15"
89,doc/visual/scores/24/name,"Conference_Room","Conference_Room","None","None","None","None","True","1","{ Conference_Room: 1 }","15"
90,doc/visual/scores/24/score,"0.528259","0.528259","0.528259","0.528259","0.528259","0.0","True","1","{ 0.528259: 1 }","None"
91,doc/visual/scores/25/classifier_id,"Brandy","Brandy","None","None","None","None","True","1","{ Brandy: 1 }","6"
92,doc/visual/scores/25/name,"Brandy","Brandy","None","None","None","None","True","1","{ Brandy: 1 }","6"
93,doc/visual/scores/25/score,"0.50379","0.50379","0.50379","0.50379","0.50379","0.0","True","1","{ 0.50379: 1 }","None"
