classifier,score,year,month,day,hour,minute,second,seqno
Store,0.516523,2016,04,07,07,11,12,77-01
Store,0.514736,2016,04,07,07,12,33,78-01
Store,0.519609,2016,04,03,20,13,31,352-01
Store,0.521115,2016,04,03,20,14,01,353-00
Store,0.552492,2016,04,04,21,56,06,27-00
Store,0.568495,2016,04,04,22,28,26,42-00
Store,0.538803,2016,04,04,22,49,25,59-00
Store,0.512835,2016,04,05,17,47,23,274-00
Store,0.543401,2016,04,05,19,12,34,321-00
Store,0.503881,2016,04,05,19,13,32,322-01
Store,0.50225,2016,04,05,19,33,57,336-01
Store,0.522512,2016,04,05,21,32,58,375-00
Store,0.577542,2016,04,06,06,58,01,417-01
Store,0.535559,2016,04,06,08,00,16,462-01
Store,0.500884,2016,04,06,08,27,41,473-01
Store,0.518077,2016,04,06,17,10,30,635-01
Store,0.543334,2016,04,03,20,24,59,360-01
Store,0.579185,2016,04,03,20,33,46,363-01
Store,0.503442,2016,04,05,17,24,55,267-00
Store,0.548638,2016,04,03,11,50,58,153-00
Store,0.515567,2016,04,05,20,25,14,354-00
Storm,0.791383,2016,04,04,21,20,49,15-01
Storm,0.708878,2016,04,05,06,14,09,71-01
Storm,0.754736,2016,04,05,06,17,42,75-01
Storm,0.604091,2016,04,05,19,52,00,345-01
Storm,0.650383,2016,04,05,19,53,18,347-01
Storm,0.656529,2016,04,04,19,54,49,647-01
Storm,0.677588,2016,04,04,21,10,41,13-01
Storm,0.704446,2016,04,05,06,18,34,76-01
Storm,0.54506,2016,04,06,21,50,27,30-01
Storm,0.545704,2016,04,03,09,18,17,98-00
Storm,0.726476,2016,04,04,16,25,59,580-00
Storm,0.570524,2016,04,04,20,21,06,654-00
Storm,0.665311,2016,04,04,20,22,41,656-00
Storm,0.645578,2016,04,04,20,57,22,05-00
Storm,0.612293,2016,04,06,09,38,34,526-00
Storm,0.566865,2016,04,06,20,28,35,07-00
Storm,0.62605,2016,04,03,09,18,45,99-01
Storm,0.656382,2016,04,04,19,39,23,642-00
Storm,0.569254,2016,04,04,20,24,47,659-01
Storm,0.607503,2016,04,06,06,11,59,404-01
Storm,0.502293,2016,04,03,08,55,10,78-00
Storm,0.519607,2016,04,03,09,06,04,90-00
Storm,0.51062,2016,04,03,09,11,54,93-01
Storm,0.580462,2016,04,03,09,24,11,104-01
Storm,0.607258,2016,04,04,14,14,02,545-00
Storm,0.536942,2016,04,04,18,04,40,603-00
Storm,0.588827,2016,04,04,20,29,36,662-00
Storm,0.556858,2016,04,04,21,19,40,14-01
Storm,0.675306,2016,04,05,06,04,10,68-00
Storm,0.543256,2016,04,05,16,35,58,248-01
Storm,0.718767,2016,04,05,19,45,21,341-01
Storm,0.69895,2016,04,05,20,05,39,351-01
