classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.619302,20160427201945-624-00,2016,4,27,20,19,45
Graduation,0.595394,20160403125326-191-01,2016,4,3,12,53,26
Graduation,0.651251,20160403143412-244-01,2016,4,3,14,34,12
Graduation,0.651242,20160403144558-252-01,2016,4,3,14,45,58
Graduation,0.526813,20160405213915-380-01,2016,4,5,21,39,15
Graduation,0.658428,20160407200532-377-01,2016,4,7,20,5,32
Graduation,0.62211,20160407172800-294-01,2016,4,7,17,28,0
Graduation,0.628693,20160407200506-376-00,2016,4,7,20,5,6
Graduation,0.617636,20160407201907-386-00,2016,4,7,20,19,7
Graduation,0.632932,20160411200449-46-01,2016,4,11,20,4,49
Graduation,0.729661,20160413200201-688-00,2016,4,13,20,2,1
Graduation,0.667175,20160413223446-729-00,2016,4,13,22,34,46
Graduation,0.709203,20160416112620-1545-00,2016,4,16,11,26,20
Graduation,0.665165,20160416134037-1602-00,2016,4,16,13,40,37
Graduation,0.593512,20160416120327-1553-00,2016,4,16,12,3,27
Graduation,0.548129,20160415221258-1434-00,2016,4,15,22,12,58
Graduation,0.691448,20160417103729-1961-00,2016,4,17,10,37,29
Graduation,0.644159,20160416131131-1582-00,2016,4,16,13,11,31
Graduation,0.650025,20160415205729-1410-01,2016,4,15,20,57,29
Graduation,0.636368,20160418072103-2295-00,2016,4,18,7,21,3
Graduation,0.629519,20160417121407-2002-00,2016,4,17,12,14,7
Graduation,0.708488,20160417091837-1918-00,2016,4,17,9,18,37
Graduation,0.590459,20160416141520-1616-00,2016,4,16,14,15,20
Graduation,0.66287,20160416155908-1668-01,2016,4,16,15,59,8
Graduation,0.573064,20160417071251-1882-01,2016,4,17,7,12,51
Graduation,0.626154,20160418175956-2414-01,2016,4,18,17,59,56
Graduation,0.605899,20160417094512-1931-01,2016,4,17,9,45,12
Graduation,0.685337,20160418071418-2291-01,2016,4,18,7,14,18
Graduation,0.592142,20160417120624-1994-01,2016,4,17,12,6,24
Graduation,0.676472,20160419113343-2621-01,2016,4,19,11,33,43
Graduation,0.703206,20160420140529-2906-01,2016,4,20,14,5,29
Graduation,0.628125,20160418180344-2417-00,2016,4,18,18,3,44
Graduation,0.624489,20160421144350-3233-00,2016,4,21,14,43,50
Graduation,0.639939,20160420224315-3117-00,2016,4,20,22,43,15
Graduation,0.572338,20160420111901-2899-01,2016,4,20,11,19,1
Graduation,0.598703,20160420224104-3112-01,2016,4,20,22,41,4
Graduation,0.590199,20160422163605-3638-00,2016,4,22,16,36,5
Graduation,0.735588,20160423120600-3900-01,2016,4,23,12,6,0
Graduation,0.720368,20160420223929-3109-01,2016,4,20,22,39,29
Graduation,0.713608,20160423134754-3950-00,2016,4,23,13,47,54
Graduation,0.577416,20160422161812-3619-00,2016,4,22,16,18,12
Graduation,0.607061,20160423134110-3948-01,2016,4,23,13,41,10
Graduation,0.649905,20160423130404-3930-00,2016,4,23,13,4,4
Graduation,0.630047,20160403144201-246-00,2016,4,3,14,42,1
Graduation,0.714267,20160403144230-247-01,2016,4,3,14,42,30
Graduation,0.70481,20160403154857-278-01,2016,4,3,15,48,57
Graduation,0.674338,20160405123635-226-00,2016,4,5,12,36,35
Graduation,0.626485,20160405171142-258-01,2016,4,5,17,11,42
Graduation,0.671603,20160406161437-606-00,2016,4,6,16,14,37
Graduation,0.551327,20160406170710-633-01,2016,4,6,17,7,10
Graduation,0.529184,20160406190252-690-01,2016,4,6,19,2,52
Graduation,0.535593,20160415114713-1280-00,2016,4,15,11,47,13
Graduation,0.589178,20160414201706-1093-00,2016,4,14,20,17,6
Graduation,0.626642,20160413222511-727-01,2016,4,13,22,25,11
Graduation,0.783239,20160413133527-604-00,2016,4,13,13,35,27
Graduation,0.673513,20160413221018-723-00,2016,4,13,22,10,18
Graduation,0.553199,20160416142225-1622-01,2016,4,16,14,22,25
Graduation,0.531396,20160416122254-1559-00,2016,4,16,12,22,54
Graduation,0.558751,20160415195317-1380-01,2016,4,15,19,53,17
Graduation,0.655552,20160416152450-1629-01,2016,4,16,15,24,50
Graduation,0.624272,20160417120225-1992-00,2016,4,17,12,2,25
Graduation,0.603964,20160416103310-1540-01,2016,4,16,10,33,10
Graduation,0.60573,20160415125455-1302-01,2016,4,15,12,54,55
Graduation,0.575374,20160415225309-1448-01,2016,4,15,22,53,9
Graduation,0.607379,20160417100840-1946-01,2016,4,17,10,8,40
Graduation,0.563945,20160417091957-1919-01,2016,4,17,9,19,57
Graduation,0.718745,20160416152111-1627-00,2016,4,16,15,21,11
Graduation,0.64036,20160418201910-2471-01,2016,4,18,20,19,10
Graduation,0.636017,20160417202710-2227-01,2016,4,17,20,27,10
Graduation,0.670022,20160418181158-2423-01,2016,4,18,18,11,58
Graduation,0.66344,20160418185917-2444-00,2016,4,18,18,59,17
Graduation,0.668584,20160420072232-2820-01,2016,4,20,7,22,32
Graduation,0.626037,20160417184144-2167-01,2016,4,17,18,41,44
Graduation,0.726771,20160418164114-2375-01,2016,4,18,16,41,14
Graduation,0.671989,20160418173843-2402-00,2016,4,18,17,38,43
Graduation,0.501081,20160420180529-3006-01,2016,4,20,18,5,29
Graduation,0.617201,20160420161224-2946-01,2016,4,20,16,12,24
Graduation,0.57934,20160420191054-3055-00,2016,4,20,19,10,54
Graduation,0.568723,20160422185156-3731-00,2016,4,22,18,51,56
Graduation,0.603534,20160422161112-3606-01,2016,4,22,16,11,12
Graduation,0.622155,20160423100917-3859-01,2016,4,23,10,9,17
Graduation,0.684637,20160423114510-3885-01,2016,4,23,11,45,10
Graduation,0.622814,20160422101050-3500-01,2016,4,22,10,10,50
Graduation,0.652328,20160422181136-3711-00,2016,4,22,18,11,36
Graduation,0.644113,20160423114858-3886-01,2016,4,23,11,48,58
Graduation,0.749243,20160423132359-3943-01,2016,4,23,13,23,59
Graduation,0.619261,20160406142845-592-00,2016,4,6,14,28,45
Graduation,0.69416,20160406065801-417-01,2016,4,6,6,58,1
Graduation,0.547501,20160406170615-632-00,2016,4,6,17,6,15
Graduation,0.703036,20160407202249-388-01,2016,4,7,20,22,49
Graduation,0.521815,20160407160247-261-00,2016,4,7,16,2,47
Graduation,0.57576,20160407201642-384-00,2016,4,7,20,16,42
Graduation,0.672246,20160408071113-467-00,2016,4,8,7,11,13
Graduation,0.682524,20160409201743-243-01,2016,4,9,20,17,43
Graduation,0.577462,20160411202318-58-00,2016,4,11,20,23,18
Graduation,0.554538,20160413121850-555-00,2016,4,13,12,18,50
Graduation,0.64401,20160411192801-31-01,2016,4,11,19,28,1
Graduation,0.62051,20160413011644-387-00,2016,4,13,1,16,44
Graduation,0.572801,20160413222133-726-00,2016,4,13,22,21,33
Graduation,0.598552,20160413123357-566-00,2016,4,13,12,33,57
Graduation,0.672519,20160413200759-692-00,2016,4,13,20,7,59
Graduation,0.53932,20160415112617-1269-01,2016,4,15,11,26,17
Graduation,0.633801,20160416115814-1549-00,2016,4,16,11,58,14
Graduation,0.618865,20160416121249-1557-00,2016,4,16,12,12,49
Graduation,0.601307,20160416141940-1618-00,2016,4,16,14,19,40
Graduation,0.558318,20160416215741-1847-00,2016,4,16,21,57,41
Graduation,0.641907,20160416103440-1543-00,2016,4,16,10,34,40
Graduation,0.543228,20160415224725-1447-01,2016,4,15,22,47,25
Graduation,0.689438,20160416154021-1645-01,2016,4,16,15,40,21
Graduation,0.632197,20160416115925-1550-00,2016,4,16,11,59,25
Graduation,0.528673,20160417143059-2058-01,2016,4,17,14,30,59
Graduation,0.602664,20160416155926-1669-00,2016,4,16,15,59,26
Graduation,0.574355,20160416160401-1675-01,2016,4,16,16,4,1
Graduation,0.548972,20160417111141-1979-01,2016,4,17,11,11,41
Graduation,0.535545,20160417110952-1978-01,2016,4,17,11,9,52
Graduation,0.552735,20160418174821-2405-01,2016,4,18,17,48,21
Graduation,0.663505,20160418175448-2409-00,2016,4,18,17,54,48
Graduation,0.574034,20160420103038-2877-01,2016,4,20,10,30,38
Graduation,0.529867,20160420185933-3048-01,2016,4,20,18,59,33
Graduation,0.594622,20160422175744-3705-01,2016,4,22,17,57,44
Graduation,0.615249,20160423115654-3889-00,2016,4,23,11,56,54
Graduation,0.681967,20160423125102-3920-01,2016,4,23,12,51,2
Graduation,0.534924,20160405223001-397-00,2016,4,5,22,30,1
Graduation,0.510199,20160406171645-643-01,2016,4,6,17,16,45
Graduation,0.539179,20160406161631-609-01,2016,4,6,16,16,31
Graduation,0.579622,20160407200348-375-01,2016,4,7,20,3,48
Graduation,0.571729,20160407200329-374-00,2016,4,7,20,3,29
Graduation,0.601378,20160413200515-690-00,2016,4,13,20,5,15
Graduation,0.652228,20160413205712-709-01,2016,4,13,20,57,12
Graduation,0.553349,20160415105744-1253-01,2016,4,15,10,57,44
Graduation,0.50405,20160415232820-1456-01,2016,4,15,23,28,20
Graduation,0.595233,20160415230619-1449-01,2016,4,15,23,6,19
Graduation,0.620461,20160414222032-1119-01,2016,4,14,22,20,32
Graduation,0.587198,20160416152346-1628-01,2016,4,16,15,23,46
Graduation,0.521068,20160415104206-1246-00,2016,4,15,10,42,6
Graduation,0.517708,20160415114432-1279-00,2016,4,15,11,44,32
Graduation,0.511897,20160416211043-1832-00,2016,4,16,21,10,43
Graduation,0.580839,20160416124351-1566-00,2016,4,16,12,43,51
Graduation,0.538107,20160416210747-1829-01,2016,4,16,21,7,47
Graduation,0.534535,20160417152219-2084-00,2016,4,17,15,22,19
Graduation,0.597875,20160418172644-2391-00,2016,4,18,17,26,44
Graduation,0.527456,20160417145240-2065-00,2016,4,17,14,52,40
Graduation,0.744212,20160418164235-2377-00,2016,4,18,16,42,35
Graduation,0.505044,20160420223447-3107-01,2016,4,20,22,34,47
Graduation,0.650786,20160419174640-2701-01,2016,4,19,17,46,40
Graduation,0.578333,20160420224020-3110-00,2016,4,20,22,40,20
Graduation,0.535527,20160420224032-3111-01,2016,4,20,22,40,32
Graduation,0.528277,20160421183039-3332-00,2016,4,21,18,30,39
Graduation,0.553573,20160423095829-3843-00,2016,4,23,9,58,29
Graduation,0.532842,20160421161330-3270-01,2016,4,21,16,13,30
Graduation,0.593678,20160423122126-3906-01,2016,4,23,12,21,26
Graduation,0.578477,20160423133946-3947-01,2016,4,23,13,39,46
Graduation,0.514217,20160405220248-392-00,2016,4,5,22,2,48
