interval,ampm,week,day,id
64,PM,21,Thursday,20160526161331-213-00
28,AM,21,Thursday,20160526071033-139-00
79,PM,21,Thursday,20160526195747-227-01
33,AM,21,Thursday,20160526081656-165-00
63,PM,21,Thursday,20160526155233-208-00
51,PM,21,Thursday,20160526125458-198-01
28,AM,21,Thursday,20160526071146-140-00
80,PM,21,Thursday,20160526200014-228-00
86,PM,21,Wednesday,20160525214350-96-01
61,PM,21,Thursday,20160526151540-201-01
33,AM,21,Thursday,20160526082100-168-00
72,PM,21,Thursday,20160526180954-220-00
26,AM,21,Thursday,20160526063300-110-00
80,PM,21,Thursday,20160526201315-229-00
29,AM,21,Thursday,20160526071608-141-00
29,AM,21,Thursday,20160526072142-143-00
65,PM,21,Thursday,20160526161623-214-00
68,PM,21,Thursday,20160526171103-217-01
26,AM,21,Friday,20160527063636-268-00
34,AM,21,Thursday,20160526083819-171-01
33,AM,21,Thursday,20160526082922-169-00
76,PM,21,Thursday,20160526190009-222-00
41,AM,21,Thursday,20160526102328-190-01
26,AM,21,Thursday,20160526064348-111-00
81,PM,21,Thursday,20160526202334-231-01
24,AM,21,Friday,20160527061232-246-00
79,PM,21,Thursday,20160526195336-224-00
25,AM,21,Friday,20160527062510-253-00
79,PM,21,Thursday,20160526195707-226-00
27,AM,21,Thursday,20160526064724-114-00
25,AM,21,Friday,20160527062214-252-00
27,AM,21,Thursday,20160526064900-115-00
26,AM,21,Friday,20160527064030-273-00
81,PM,21,Thursday,20160526202631-233-00
37,AM,21,Thursday,20160526092914-182-00
26,AM,21,Friday,20160527064126-275-00
26,AM,21,Friday,20160527063035-257-00
81,PM,21,Thursday,20160526202533-232-01
81,PM,21,Thursday,20160526202958-234-00
27,AM,21,Thursday,20160526065128-119-01
27,AM,21,Friday,20160527065553-286-01
48,PM,21,Thursday,20160526120403-195-01
26,AM,21,Friday,20160527063200-260-01
43,AM,21,Thursday,20160526105447-191-01
25,AM,21,Friday,20160527062710-254-00
82,PM,21,Thursday,20160526203842-236-01
51,PM,21,Thursday,20160526124719-197-00
26,AM,21,Friday,20160527063523-267-01
27,AM,21,Thursday,20160526065307-122-00
27,AM,21,Friday,20160527065841-287-01
26,AM,21,Friday,20160527063342-263-00
62,PM,21,Thursday,20160526154029-203-01
88,PM,21,Thursday,20160526220323-241-01
26,AM,21,Friday,20160527064202-276-00
67,PM,21,Thursday,20160526164621-215-00
26,AM,21,Friday,20160527064101-274-00
62,PM,21,Thursday,20160526154424-204-01
28,AM,21,Friday,20160527070941-292-01
26,AM,21,Friday,20160527064302-278-00
24,AM,21,Friday,20160527060122-244-01
29,AM,21,Friday,20160527071510-294-00
28,AM,21,Friday,20160527070159-288-01
26,AM,21,Friday,20160527063700-269-01
28,AM,21,Thursday,20160526070111-132-00
28,AM,21,Friday,20160527070348-289-00
81,PM,21,Thursday,20160526201636-230-01
27,AM,21,Friday,20160527064602-281-00
25,AM,21,Friday,20160527061557-249-01
34,AM,21,Friday,20160527083134-321-00
82,PM,21,Thursday,20160526203036-235-00
63,PM,21,Thursday,20160526154503-206-00
28,AM,21,Friday,20160527070620-291-01
29,AM,21,Thursday,20160526072754-145-01
29,AM,21,Friday,20160527072720-300-01
26,AM,21,Friday,20160527063941-272-00
29,AM,21,Friday,20160527071800-296-00
25,AM,21,Friday,20160527061744-251-00
26,AM,21,Friday,20160527064421-279-01
33,AM,21,Friday,20160527081515-312-01
82,PM,21,Thursday,20160526204121-237-01
32,AM,21,Thursday,20160526080258-154-01
29,AM,21,Friday,20160527072331-298-01
34,AM,21,Friday,20160527083625-327-00
63,PM,21,Thursday,20160526155104-207-01
86,PM,21,Thursday,20160526213323-239-01
25,AM,21,Friday,20160527062906-256-00
64,PM,21,Thursday,20160526161320-212-00
34,AM,21,Friday,20160527083716-328-00
28,AM,21,Friday,20160527071018-293-01
32,AM,21,Thursday,20160526081027-161-01
31,AM,21,Friday,20160527075825-305-00
26,AM,21,Friday,20160527063440-266-02
88,PM,21,Thursday,20160526220401-242-01
32,AM,21,Thursday,20160526081132-163-01
34,AM,21,Friday,20160527083815-330-00
67,PM,21,Thursday,20160526165545-216-00
35,AM,21,Friday,20160527085412-339-00
71,PM,21,Thursday,20160526175332-218-00
26,AM,21,Friday,20160527063928-271-00
30,AM,21,Friday,20160527073107-302-01
25,AM,21,Friday,20160527062823-255-00
71,PM,21,Thursday,20160526175553-219-00
26,AM,21,Friday,20160527063123-259-01
34,AM,21,Friday,20160527083847-331-01
34,AM,21,Thursday,20160526083451-170-00
35,AM,21,Friday,20160527084532-334-01
26,AM,21,Friday,20160527064222-277-01
36,AM,21,Friday,20160527090623-352-00
32,AM,21,Friday,20160527080029-307-01
35,AM,21,Friday,20160527085229-337-00
36,AM,21,Friday,20160527091305-363-01
36,AM,21,Thursday,20160526090416-176-01
32,AM,21,Friday,20160527080234-309-00
38,AM,21,Thursday,20160526093003-183-00
37,AM,21,Friday,20160527091516-367-01
35,AM,21,Friday,20160527085853-342-01
77,PM,21,Thursday,20160526191918-223-01
32,AM,21,Friday,20160527080621-310-00
37,AM,21,Friday,20160527091654-369-01
27,AM,21,Friday,20160527065155-285-00
39,AM,21,Thursday,20160526094837-187-00
36,AM,21,Friday,20160527090911-356-00
26,AM,21,Friday,20160527063355-264-01
33,AM,21,Friday,20160527082153-314-00
79,PM,21,Thursday,20160526195443-225-00
36,AM,21,Friday,20160527090032-344-00
28,AM,21,Friday,20160527070536-290-00
26,AM,21,Friday,20160527063754-270-00
43,AM,21,Thursday,20160526105549-192-00
39,AM,21,Friday,20160527095216-396-00
34,AM,21,Friday,20160527083341-325-01
36,AM,21,Friday,20160527091022-358-01
85,PM,21,Thursday,20160526212319-238-01
36,AM,21,Friday,20160527090139-345-00
29,AM,21,Friday,20160527071717-295-00
27,AM,21,Friday,20160527064639-282-00
41,AM,21,Friday,20160527102615-401-01
41,AM,21,Friday,20160527102852-402-01
24,AM,21,Friday,20160527060020-243-00
46,AM,21,Friday,20160527114351-424-01
36,AM,21,Friday,20160527090445-351-01
34,AM,21,Friday,20160527084027-333-00
36,AM,21,Friday,20160527090757-353-01
48,PM,21,Thursday,20160526121052-196-01
42,AM,21,Friday,20160527103917-411-01
47,AM,21,Friday,20160527115127-427-00
27,AM,21,Friday,20160527064926-284-00
45,AM,21,Friday,20160527112921-419-00
29,AM,21,Friday,20160527072824-301-00
37,AM,21,Friday,20160527091535-368-00
24,AM,21,Friday,20160527060146-245-01
36,AM,21,Friday,20160527090251-346-00
47,AM,21,Friday,20160527115216-428-00
36,AM,21,Friday,20160527091150-361-00
51,PM,21,Thursday,20160526125525-199-00
37,AM,21,Friday,20160527091747-371-01
49,PM,21,Friday,20160527122246-434-01
47,AM,21,Friday,20160527115415-429-01
29,AM,21,Friday,20160527071923-297-00
50,PM,21,Friday,20160527124027-437-01
31,AM,21,Friday,20160527075508-303-00
36,AM,21,Friday,20160527091459-366-01
61,PM,21,Thursday,20160526151741-202-01
26,AM,21,Friday,20160527063059-258-00
51,PM,21,Friday,20160527124955-442-01
29,AM,21,Friday,20160527072544-299-00
32,AM,21,Friday,20160527080203-308-01
31,AM,21,Friday,20160527075733-304-01
37,AM,21,Friday,20160527092016-375-00
26,AM,21,Friday,20160527063235-261-00
33,AM,21,Friday,20160527081911-313-01
55,PM,21,Friday,20160527135015-455-01
74,PM,21,Thursday,20160526183224-221-00
33,AM,21,Friday,20160527082832-318-01
32,AM,21,Friday,20160527080720-311-01
88,PM,21,Thursday,20160526220227-240-01
26,AM,21,Friday,20160527063421-265-00
37,AM,21,Friday,20160527091733-370-01
34,AM,21,Friday,20160527083229-323-01
27,AM,21,Friday,20160527064859-283-00
33,AM,21,Friday,20160527082222-315-00
38,AM,21,Friday,20160527093049-379-00
33,AM,21,Friday,20160527082252-316-01
34,AM,21,Friday,20160527083037-319-00
24,AM,21,Friday,20160527061446-247-01
37,AM,21,Friday,20160527091821-372-01
38,AM,21,Friday,20160527094006-385-01
34,AM,21,Friday,20160527083356-326-00
37,AM,21,Friday,20160527092334-377-01
25,AM,21,Friday,20160527061540-248-00
38,AM,21,Friday,20160527094033-386-00
38,AM,21,Friday,20160527093202-382-00
34,AM,21,Friday,20160527083731-329-01
39,AM,21,Friday,20160527095003-392-00
35,AM,21,Friday,20160527085324-338-00
40,AM,21,Friday,20160527101045-397-00
34,AM,21,Friday,20160527083105-320-01
36,AM,21,Friday,20160527090342-349-00
36,AM,21,Friday,20160527090308-347-01
40,AM,21,Friday,20160527101233-399-00
34,AM,21,Friday,20160527083923-332-00
42,AM,21,Friday,20160527103524-407-00
37,AM,21,Friday,20160527091932-374-00
36,AM,21,Friday,20160527090810-354-01
42,AM,21,Friday,20160527103856-410-01
40,AM,21,Friday,20160527101444-400-00
25,AM,21,Friday,20160527061718-250-01
45,AM,21,Friday,20160527112935-420-01
35,AM,21,Friday,20160527084641-335-01
37,AM,21,Friday,20160527092130-376-01
26,AM,21,Friday,20160527063317-262-00
50,PM,21,Friday,20160527123247-435-00
26,AM,21,Friday,20160527064453-280-00
42,AM,21,Friday,20160527103216-405-01
35,AM,21,Friday,20160527085202-336-01
35,AM,21,Friday,20160527085756-341-01
50,PM,21,Friday,20160527124450-439-01
38,AM,21,Friday,20160527093128-381-01
42,AM,21,Friday,20160527103315-406-00
31,AM,21,Friday,20160527075906-306-01
33,AM,21,Friday,20160527082709-317-01
42,AM,21,Friday,20160527104319-413-01
36,AM,21,Friday,20160527091047-359-00
36,AM,21,Friday,20160527090400-350-01
34,AM,21,Friday,20160527083153-322-00
39,AM,21,Friday,20160527095117-394-01
36,AM,21,Friday,20160527091128-360-01
36,AM,21,Friday,20160527090827-355-01
53,PM,21,Friday,20160527132537-450-01
43,AM,21,Friday,20160527105244-414-00
55,PM,21,Friday,20160527134949-454-01
36,AM,21,Friday,20160527091211-362-00
42,AM,21,Friday,20160527103037-404-00
47,AM,21,Friday,20160527114958-425-00
37,AM,21,Friday,20160527091916-373-01
55,PM,21,Friday,20160527135206-456-01
34,AM,21,Friday,20160527083252-324-00
47,AM,21,Friday,20160527115819-431-00
58,PM,21,Friday,20160527144227-465-01
52,PM,21,Friday,20160527130801-446-01
58,PM,21,Friday,20160527143747-462-00
36,AM,21,Friday,20160527090955-357-00
37,AM,21,Friday,20160527092948-378-01
35,AM,21,Friday,20160527085426-340-00
44,AM,21,Friday,20160527110808-415-01
58,PM,21,Friday,20160527143807-463-00
36,AM,21,Friday,20160527091443-365-00
38,AM,21,Friday,20160527093803-383-00
49,PM,21,Friday,20160527121716-433-01
52,PM,21,Friday,20160527130144-444-00
38,AM,21,Friday,20160527094354-389-01
35,AM,21,Friday,20160527085910-343-00
38,AM,21,Friday,20160527094049-387-01
36,AM,21,Friday,20160527090329-348-00
53,PM,21,Friday,20160527132726-451-01
38,AM,21,Friday,20160527094252-388-01
39,AM,21,Friday,20160527095102-393-01
55,PM,21,Friday,20160527134732-452-00
39,AM,21,Friday,20160527094523-391-01
39,AM,21,Friday,20160527095152-395-00
56,PM,21,Friday,20160527140232-457-00
45,AM,21,Friday,20160527112830-418-01
36,AM,21,Friday,20160527091333-364-01
40,AM,21,Friday,20160527101110-398-00
38,AM,21,Friday,20160527093108-380-01
38,AM,21,Friday,20160527093818-384-00
41,AM,21,Friday,20160527102949-403-00
42,AM,21,Friday,20160527104201-412-00
38,AM,21,Friday,20160527094415-390-00
42,AM,21,Friday,20160527103621-408-00
46,AM,21,Friday,20160527113112-422-00
46,AM,21,Friday,20160527114340-423-00
42,AM,21,Friday,20160527103716-409-01
50,PM,21,Friday,20160527124416-438-01
47,AM,21,Friday,20160527115029-426-01
51,PM,21,Friday,20160527124537-440-00
51,PM,21,Friday,20160527124610-441-01
45,AM,21,Friday,20160527112338-416-01
47,AM,21,Friday,20160527115838-432-00
55,PM,21,Friday,20160527134936-453-01
45,AM,21,Friday,20160527112411-417-00
56,PM,21,Friday,20160527140521-458-01
50,PM,21,Friday,20160527123342-436-00
46,AM,21,Friday,20160527113052-421-01
58,PM,21,Friday,20160527143418-461-00
52,PM,21,Friday,20160527130826-447-00
47,AM,21,Friday,20160527115432-430-01
53,PM,21,Friday,20160527132446-448-01
53,PM,21,Friday,20160527132508-449-01
52,PM,21,Friday,20160527130027-443-00
58,PM,21,Friday,20160527143946-464-00
52,PM,21,Friday,20160527130736-445-00
56,PM,21,Friday,20160527140607-459-00
58,PM,21,Friday,20160527143347-460-00
