ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV
0.310026,person,03,10,202x110+358+156,07,04,15,20160403100715-120-00.jpg,2016,20160403100715-120-00,1-2818af40cfc52d0878b44ad97f0505ac
0.710949,person,03,10,68x88+362+172,07,04,44,20160403100744-121-01.jpg,2016,20160403100744-121-01,1-920b03ca61325cde55372351c02c7a55
0.731059,person,03,10,62x88+366+176,08,04,06,20160403100806-122-01.jpg,2016,20160403100806-122-01,1-9bac5edd66dfa628dfd713618e037fad
,NO_TAGS,03,10,50x54+200+214,13,04,47,20160403101347-125-00.jpg,2016,20160403101347-125-00,1-1a6e0d9cdec5e2de4f57509f5250ad9b
0.450166,person,03,10,128x158+126+104,17,04,59,20160403101759-126-01.jpg,2016,20160403101759-126-01,1-7b222e53b16e092b8165d72ab5ff3adf
0.331812,person,03,10,44x64+270+126,22,04,08,20160403102208-127-00.jpg,2016,20160403102208-127-00,1-6779509d777bf618c1b40db4bc688944
0.990987,person,03,10,248x476+202+0,26,04,36,20160403102636-128-01.jpg,2016,20160403102636-128-01,1-1dc1ab616f3f9c177950622f8329f36b
,NO_TAGS,03,10,52x38+200+236,27,04,46,20160403102746-129-01.jpg,2016,20160403102746-129-01,1-1330d8b24eb2b23e642b909edf1a31d8
0.999325,person,03,10,460x456+96+0,33,04,42,20160403103342-130-00.jpg,2016,20160403103342-130-00,1-6a277bb3dca196aacf9834642ca27308
,NO_TAGS,03,10,56x100+226+148,34,04,31,20160403103431-131-00.jpg,2016,20160403103431-131-00,1-1bdbdd442dd84a41237cabfde5c52eb9
0.731059,person,03,10,54x422+390+0,35,04,22,20160403103522-132-01.jpg,2016,20160403103522-132-01,1-567c1328181b2982834b98c3dc65ee6b
0.802184,person,03,10,490x84+82+172,37,04,11,20160403103711-133-00.jpg,2016,20160403103711-133-00,1-3129ebef61b3618443d3fa4ffa4ad0fc
0.802184,person,03,10,90x294+400+22,38,04,25,20160403103825-134-00.jpg,2016,20160403103825-134-00,1-fa2cc0f2e627670326f93fa18415f642
0.970688,person,03,10,38x60+222+180,38,04,48,20160403103848-135-00.jpg,2016,20160403103848-135-00,1-16c202171694d084e677b61f62d8361f
0.890903,person,03,10,40x430+402+0,39,04,29,20160403103929-136-00.jpg,2016,20160403103929-136-00,1-5493d25f113be9f7103be68cbabee6f5
0.960834,person,03,10,340x218+136+126,39,04,48,20160403103948-137-01.jpg,2016,20160403103948-137-01,1-c1ac7322e55b395c618bfd523aedc777
0.995504,person,03,10,638x414+9+28,41,04,08,20160403104108-138-01.jpg,2016,20160403104108-138-01,1-2640a985914058723b06f3014c8b18a8
0.960834,person,03,10,34x58+406+206,41,04,41,20160403104141-139-01.jpg,2016,20160403104141-139-01,1-dd943e9c7de218a93a41fcc91157c4c4
0.956893,person,03,10,64x88+216+166,42,04,18,20160403104218-140-00.jpg,2016,20160403104218-140-00,1-aecd199fe346406c950e355e81b11ad2
0.858149,person,03,10,36x54+452+100,42,04,57,20160403104257-141-00.jpg,2016,20160403104257-141-00,1-4cad64269ebbaf40565846fd390f38dc
0.997527,person,03,10,146x254+250+182,43,04,27,20160403104327-142-01.jpg,2016,20160403104327-142-01,1-710cbb5048f359f1daa4fee7ca097abe
0.986613,person,03,10,68x54+216+180,44,04,21,20160403104421-143-00.jpg,2016,20160403104421-143-00,1-294372a754c7d7e1fac31384a071e35a
0.975873,person,03,10,32x64+162+174,44,04,38,20160403104438-144-01.jpg,2016,20160403104438-144-01,1-f6a01cfca707ed94d4f0d62658ee4f5a
0.832018,person,03,10,346x180+86+78,44,04,54,20160403104454-145-00.jpg,2016,20160403104454-145-00,1-f9087d700241a9603ac05ab53f1d0a3c
0.869892,person,03,10,108x118+408+220,45,04,10,20160403104510-146-00.jpg,2016,20160403104510-146-00,1-c2cc7efbe5d476005e4f1da3f4276a1d
0.858149,person,03,10,530x478+56+0,45,04,29,20160403104529-147-00.jpg,2016,20160403104529-147-00,1-550cc129d0b59174abfbfae3036c20a7
0.997975,person,03,10,334x422+150+0,46,04,58,20160403104658-148-01.jpg,2016,20160403104658-148-01,1-62c7a4653805e3e3166fc6206b6894ea
0.916827,person,03,10,638x478+25+0,47,04,50,20160403104750-149-00.jpg,2016,20160403104750-149-00,1-6953de5c129f16a9f83c966a31929adc
0.890903,person,03,10,282x478+168+0,49,04,09,20160403104909-150-01.jpg,2016,20160403104909-150-01,1-e582d9867e00cd530b05dda9e7a75e97
0.995033,person,03,10,82x58+158+418,50,04,33,20160403105033-151-01.jpg,2016,20160403105033-151-01,1-f94a104a2947594f4859a19f32de31e8
0.908877,person,03,10,296x330+136+22,51,04,51,20160403105151-152-00.jpg,2016,20160403105151-152-00,1-0b7896e74e438a3605569e2f4e2651e0
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659
,NO_TAGS,03,11,18x118+396+262,52,04,07,20160403115207-154-00.jpg,2016,20160403115207-154-00,1-855ca9d0f36f8e57718ef5b262dad633
0.817574,person,03,11,50x416+384+0,53,04,36,20160403115336-155-01.jpg,2016,20160403115336-155-01,1-6b6d2294bc151ec0f6b91f5ab03c8855
0.377541,person,03,11,26x442+406+0,54,04,40,20160403115440-156-00.jpg,2016,20160403115440-156-00,1-a133913453dc2d6a54e58548516b4248
0.710949,person,03,11,132x478+246+0,55,04,50,20160403115550-157-01.jpg,2016,20160403115550-157-01,1-d989ddf3b4bad59a592819fee644d424
,NO_TAGS,03,11,62x54+256+424,56,04,58,20160403115658-158-01.jpg,2016,20160403115658-158-01,1-7c5c1aa8f5f5acd4d9a76033d6bf8f18
0.331812,person,03,11,40x90+270+108,58,04,01,20160403115801-159-01.jpg,2016,20160403115801-159-01,1-c7f79f07f5c98014e9ea3bb8bc0046e7
,NO_TAGS,03,11,170x280+202+126,58,04,39,20160403115839-160-01.jpg,2016,20160403115839-160-01,1-9a4c3cc8f93147b5bc795241b6304595
,NO_TAGS,03,12,36x140+132+256,11,04,40,20160403121140-161-01.jpg,2016,20160403121140-161-01,1-383d272cd526d4c51b66bcb00567f0d7
,NO_TAGS,03,12,52x154+106+312,11,04,56,20160403121156-162-00.jpg,2016,20160403121156-162-00,1-3ffe8e03e77a379e509a6dd27f10f480
,NO_TAGS,03,12,24x78+194+84,17,04,50,20160403121750-163-01.jpg,2016,20160403121750-163-01,1-bba225106cda5b9f8dbcbd2af2dc1c3e
,NO_TAGS,03,12,22x90+144+256,20,04,46,20160403122046-164-01.jpg,2016,20160403122046-164-01,1-6bb905fa0d3b472d74da7fe69941c8f3
,NO_TAGS,03,12,52x98+114+314,21,04,16,20160403122116-165-00.jpg,2016,20160403122116-165-00,1-4ce25ef13eafd5b3f5cdec1127814f47
,NO_TAGS,03,12,638x478+19+0,23,04,20,20160403122320-166-01.jpg,2016,20160403122320-166-01,1-9c154f8cf00e5b385579d62a94aee164
0.401312,person,03,12,76x234+372+136,23,04,46,20160403122346-167-01.jpg,2016,20160403122346-167-01,1-7ced23adaf42f501a13804514047ba3b
0.890903,person,03,12,60x58+324+84,24,04,54,20160403122454-168-00.jpg,2016,20160403122454-168-00,1-69a514af9d10cd05d0b2a80da2d31309
0.916827,person,03,12,34x70+374+166,26,04,21,20160403122621-170-01.jpg,2016,20160403122621-170-01,1-6a43f8828b738289bcfa35775952d54a
,NO_TAGS,03,12,54x40+340+90,27,04,08,20160403122708-171-00.jpg,2016,20160403122708-171-00,1-06437cd61ddc393d89fe3d1c04f0a424
,NO_TAGS,03,12,50x44+344+86,27,04,33,20160403122733-172-01.jpg,2016,20160403122733-172-01,1-a2bd793be40c0ca0c7d5e60ed31eed2c
0.524979,person,03,12,440x164+102+134,28,04,28,20160403122828-173-00.jpg,2016,20160403122828-173-00,1-8d43b9a266e4b11cd8a886e68609c282
0.817574,person,03,12,638x478+4+0,30,04,31,20160403123031-174-01.jpg,2016,20160403123031-174-01,1-204913d15040ade30f871546265010f9
0.354344,person,03,12,28x94+234+150,31,04,17,20160403123117-175-00.jpg,2016,20160403123117-175-00,1-c535d7e5deb421e18daef3f8aec2ef67
0.331812,person,03,12,38x78+246+124,34,04,00,20160403123400-176-01.jpg,2016,20160403123400-176-01,1-ef881fa70b56e11233c4b3d1400dce33
0.645656,person,03,12,30x104+226+120,38,04,33,20160403123833-177-01.jpg,2016,20160403123833-177-01,1-a7b08f61f4d52830029eadf25ba0a218
0.916827,person,03,12,32x64+268+128,38,04,48,20160403123848-178-00.jpg,2016,20160403123848-178-00,1-d7dcdb3138960c257351fc2dd319a2a4
,NO_TAGS,03,12,44x74+230+164,39,04,34,20160403123934-179-01.jpg,2016,20160403123934-179-01,1-6ea4050b2da27ff0610250ca2551aa30
0.310026,person,03,12,96x48+214+182,40,04,49,20160403124049-180-01.jpg,2016,20160403124049-180-01,1-840cc4207d14a4d83925e1080203df15
