interval,day,classifier,score
67,Wednesday,person,0.996316
67,Wednesday,person,0.549834
67,Wednesday,person,0.574443
67,Wednesday,person,0.768525
67,Wednesday,person,0.331812
67,Wednesday,person,0.28905
68,Wednesday,person,0.952574
68,Wednesday,person,0.802184
68,Wednesday,person,0.989013
68,Wednesday,person,0.983697
68,Wednesday,person,0.930862
68,Wednesday,person,0.924142
68,Wednesday,person,0.956893
68,Wednesday,person,0.956893
68,Wednesday,person,0.998993
68,Wednesday,person,0.916827
68,Wednesday,person,0.991837
68,Wednesday,person,0.832018
68,Wednesday,person,0.549834
69,Wednesday,person,0.930862
69,Wednesday,person,0.998771
69,Wednesday,person,0.994514
69,Wednesday,person,0.930862
69,Wednesday,person,0.75026
69,Wednesday,person,0.710949
69,Wednesday,person,0.598688
69,Wednesday,person,0.598688
69,Wednesday,person,0.574443
69,Wednesday,person,0.5
69,Wednesday,person,0.731059
69,Wednesday,person,0.268941
69,Wednesday,person,0.987872
69,Wednesday,person,0.937027
69,Wednesday,person,0.978119
70,Wednesday,person,0.817574
70,Wednesday,person,0.998499
70,Wednesday,person,0.645656
70,Wednesday,person,0.970688
70,Wednesday,person,0.998993
70,Wednesday,person,0.524979
70,Wednesday,person,0.960834
70,Wednesday,person,0.731059
70,Wednesday,person,0.999389
70,Wednesday,person,0.858149
71,Wednesday,person,0.916827
71,Wednesday,person,0.450166
71,Wednesday,person,0.997975
72,Wednesday,person,0.268941
72,Wednesday,person,0.832018
73,Wednesday,person,0.425557
73,Wednesday,person,0.5
75,Wednesday,person,0.425557
75,Wednesday,person,0.331812
75,Wednesday,person,0.310026
75,Wednesday,person,0.268941
75,Wednesday,person,0.622459
76,Wednesday,person,0.524979
76,Wednesday,person,0.858149
76,Wednesday,person,0.331812
78,Wednesday,person,0.598688
81,Wednesday,person,0.268941
82,Wednesday,person,0.310026
82,Wednesday,person,0.475021
83,Wednesday,person,0.310026
84,Wednesday,person,0.331812
84,Wednesday,person,0.622459
3,Thursday,person,0.310026
26,Thursday,person,0.425557
27,Thursday,person,0.450166
28,Thursday,person,0.622459
28,Thursday,person,0.425557
28,Thursday,person,0.998887
28,Thursday,person,0.475021
29,Thursday,person,0.930862
29,Thursday,person,0.960834
29,Thursday,person,0.985226
29,Thursday,person,0.574443
29,Thursday,person,0.999629
29,Thursday,person,0.973403
29,Thursday,person,0.668188
29,Thursday,person,0.268941
32,Thursday,person,0.880797
39,Thursday,person,0.916827
40,Thursday,person,0.401312
41,Thursday,person,0.331812
42,Thursday,person,0.598688
42,Thursday,person,0.268941
42,Thursday,person,0.377541
42,Thursday,person,0.5
42,Thursday,person,0.310026
43,Thursday,person,0.28905
43,Thursday,person,0.28905
43,Thursday,person,0.331812
44,Thursday,person,0.999447
44,Thursday,person,0.598688
44,Thursday,person,0.475021
44,Thursday,person,0.425557
44,Thursday,person,0.268941
44,Thursday,person,0.668188
44,Thursday,person,0.475021
44,Thursday,person,0.731059
44,Thursday,person,0.354344
45,Thursday,person,0.268941
46,Thursday,person,0.268941
54,Thursday,person,0.310026
54,Thursday,person,0.331812
59,Thursday,person,0.377541
59,Thursday,person,0.310026
60,Thursday,person,0.401312
60,Thursday,person,0.310026
63,Thursday,person,0.377541
63,Thursday,person,0.310026
63,Thursday,person,0.401312
63,Thursday,person,0.450166
64,Thursday,person,0.354344
64,Thursday,person,0.869892
64,Thursday,person,0.710949
64,Thursday,person,0.689974
64,Thursday,person,0.354344
64,Thursday,person,0.354344
64,Thursday,person,0.992608
65,Thursday,person,0.310026
65,Thursday,person,0.331812
65,Thursday,person,0.310026
66,Thursday,person,0.28905
66,Thursday,person,0.310026
66,Thursday,person,0.999447
67,Thursday,person,0.645656
67,Thursday,person,0.731059
67,Thursday,person,0.310026
69,Thursday,person,0.970688
69,Thursday,person,0.967705
70,Thursday,person,0.869892
70,Thursday,person,0.268941
70,Thursday,person,0.990048
71,Thursday,person,0.668188
71,Thursday,person,0.28905
71,Thursday,person,0.268941
71,Thursday,person,0.5
71,Thursday,person,0.331812
71,Thursday,person,0.268941
71,Thursday,person,0.549834
71,Thursday,person,0.425557
71,Thursday,person,0.967705
72,Thursday,person,0.354344
72,Thursday,person,0.930862
72,Thursday,person,0.645656
72,Thursday,person,0.450166
72,Thursday,person,0.310026
72,Thursday,person,0.401312
72,Thursday,person,0.574443
72,Thursday,person,0.524979
72,Thursday,person,0.331812
72,Thursday,person,0.5
72,Thursday,person,0.354344
72,Thursday,person,0.401312
72,Thursday,person,0.99593
73,Thursday,person,0.450166
73,Thursday,person,0.990048
73,Thursday,person,0.997975
73,Thursday,person,0.524979
73,Thursday,person,0.549834
74,Thursday,person,0.987872
74,Thursday,person,0.967705
74,Thursday,person,0.475021
74,Thursday,person,0.978119
74,Thursday,person,0.908877
74,Thursday,person,0.998499
74,Thursday,person,0.622459
74,Thursday,person,0.5
74,Thursday,person,0.310026
75,Thursday,person,0.331812
75,Thursday,person,0.5
75,Thursday,person,0.645656
75,Thursday,person,0.990048
75,Thursday,person,0.425557
77,Thursday,person,0.524979
77,Thursday,person,0.785835
77,Thursday,person,0.622459
77,Thursday,person,0.598688
77,Thursday,person,0.622459
77,Thursday,person,0.942676
78,Thursday,person,0.310026
78,Thursday,person,0.668188
78,Thursday,person,0.401312
78,Thursday,person,0.869892
78,Thursday,person,0.331812
79,Thursday,person,0.987872
79,Thursday,person,0.942676
79,Thursday,person,0.450166
79,Thursday,person,0.310026
80,Thursday,person,0.845535
80,Thursday,person,0.28905
80,Thursday,person,0.817574
80,Thursday,person,0.689974
80,Thursday,person,0.331812
80,Thursday,person,0.28905
81,Thursday,person,0.475021
81,Thursday,person,0.28905
81,Thursday,person,0.425557
81,Thursday,person,0.5
81,Thursday,person,0.354344
81,Thursday,person,0.964429
81,Thursday,person,0.908877
81,Thursday,person,0.964429
81,Thursday,person,0.450166
81,Thursday,person,0.975873
82,Thursday,person,0.377541
82,Thursday,person,0.401312
82,Thursday,person,0.75026
82,Thursday,person,0.331812
82,Thursday,person,0.524979
83,Thursday,person,0.900249
86,Thursday,person,0.845535
86,Thursday,person,0.937027
86,Thursday,person,0.994514
87,Thursday,person,0.768525
87,Thursday,person,0.331812
87,Thursday,person,0.973403
87,Thursday,person,0.28905
92,Thursday,person,0.310026
26,Friday,person,0.331812
26,Friday,person,0.999389
28,Friday,person,0.28905
28,Friday,person,0.549834
28,Friday,person,0.983697
28,Friday,person,0.908877
28,Friday,person,0.475021
28,Friday,person,0.890903
28,Friday,person,0.377541
29,Friday,person,0.524979
29,Friday,person,0.574443
29,Friday,person,0.450166
29,Friday,person,0.524979
29,Friday,person,0.5
29,Friday,person,0.768525
30,Friday,person,0.28905
30,Friday,person,0.28905
31,Friday,person,0.28905
31,Friday,person,0.331812
31,Friday,person,0.982014
31,Friday,person,0.75026
32,Friday,person,0.832018
32,Friday,person,0.354344
32,Friday,person,0.5
33,Friday,person,0.310026
34,Friday,person,0.425557
34,Friday,person,0.28905
35,Friday,person,0.310026
35,Friday,person,0.331812
38,Friday,person,0.998887
40,Friday,person,0.28905
40,Friday,person,0.450166
40,Friday,person,0.549834
40,Friday,person,0.574443
40,Friday,person,0.28905
40,Friday,person,0.425557
43,Friday,person,0.425557
43,Friday,person,0.310026
43,Friday,person,0.956893
44,Friday,person,0.985226
44,Friday,person,0.401312
46,Friday,person,0.924142
46,Friday,person,0.310026
56,Friday,person,0.598688
56,Friday,person,0.268941
60,Friday,person,0.310026
62,Friday,person,0.354344
64,Friday,person,0.999447
65,Friday,person,0.28905
65,Friday,person,0.75026
66,Friday,person,0.937027
67,Friday,person,0.645656
67,Friday,person,0.645656
67,Friday,person,0.549834
67,Friday,person,0.890903
67,Friday,person,0.425557
67,Friday,person,0.354344
67,Friday,person,0.802184
67,Friday,person,0.900249
68,Friday,person,0.668188
68,Friday,person,0.768525
68,Friday,person,0.475021
68,Friday,person,0.450166
68,Friday,person,0.450166
68,Friday,person,0.28905
68,Friday,person,0.475021
68,Friday,person,0.310026
68,Friday,person,0.598688
69,Friday,person,0.354344
69,Friday,person,0.645656
70,Friday,person,0.377541
70,Friday,person,0.450166
70,Friday,person,0.450166
70,Friday,person,0.985226
71,Friday,person,0.310026
72,Friday,person,0.310026
74,Friday,person,0.524979
